,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
147,"(1, 11)","(7, 2)","(10, 5)","(12, 5)","(13, 1)","(14, 2)","(32, 1)",,,,,,,,,,,,,,
148,"(4, 9)","(7, 31)","(10, 11)","(15, 1)","(17, 6)","(20, 3)","(23, 1)","(25, 2)","(30, 1)",,,,,,,,,,,,
149,"(0, 1)","(4, 1)","(6, 2)","(7, 1)","(12, 2)","(13, 4)","(14, 1)","(20, 3)","(22, 1)","(39, 1)","(46, 1)",,,,,,,,,,
150,"(1, 1)","(7, 1)",,,,,,,,,,,,,,,,,,,
151,"(4, 3)","(6, 2)","(7, 7)","(10, 2)",,,,,,,,,,,,,,,,,
152,"(1, 1)","(4, 3)","(6, 5)","(7, 11)","(10, 3)","(11, 1)","(12, 45)","(14, 6)","(17, 1)","(19, 1)","(20, 3)","(31, 1)","(73, 1)",,,,,,,,
153,"(4, 1)","(10, 2)","(12, 1)","(14, 3)","(17, 5)","(19, 2)","(32, 1)","(37, 1)","(44, 1)",,,,,,,,,,,,
154,"(4, 2)","(5, 3)","(6, 4)","(7, 5)","(10, 3)","(12, 9)","(13, 13)","(15, 1)","(17, 3)","(22, 2)","(30, 2)","(31, 1)",,,,,,,,,
155,"(7, 1)","(10, 1)","(39, 2)","(73, 1)",,,,,,,,,,,,,,,,,
156,"(1, 1)","(4, 2)","(5, 1)","(6, 3)","(7, 12)","(10, 2)","(17, 1)","(21, 4)","(30, 15)","(58, 1)","(59, 1)",,,,,,,,,,
157,"(4, 3)","(10, 3)","(14, 1)","(20, 2)",,,,,,,,,,,,,,,,,
158,"(6, 1)","(7, 1)","(13, 3)","(17, 2)","(25, 1)",,,,,,,,,,,,,,,,
159,"(0, 1)","(4, 2)","(6, 4)","(7, 6)","(10, 2)","(12, 1)","(13, 1)","(14, 3)","(15, 2)","(21, 4)","(25, 1)",,,,,,,,,,
160,"(0, 1)","(1, 2)","(4, 1)","(6, 1)","(7, 6)","(10, 3)","(13, 1)","(17, 1)","(20, 2)",,,,,,,,,,,,
161,"(0, 15)","(1, 1)","(3, 1)","(4, 1)","(6, 7)","(7, 5)","(10, 1)","(12, 2)","(14, 1)","(15, 1)",,,,,,,,,,,
162,"(12, 1)",,,,,,,,,,,,,,,,,,,,
163,"(6, 1)","(12, 1)","(40, 1)",,,,,,,,,,,,,,,,,,
164,"(6, 4)","(7, 1)","(10, 1)",,,,,,,,,,,,,,,,,,
165,"(0, 1)","(1, 2)","(6, 2)","(7, 2)","(10, 4)","(12, 18)","(14, 1)","(16, 1)","(17, 1)","(20, 2)","(31, 1)","(39, 1)",,,,,,,,,
166,"(5, 1)","(10, 1)","(53, 1)",,,,,,,,,,,,,,,,,,
167,"(4, 1)","(6, 2)",,,,,,,,,,,,,,,,,,,
168,"(6, 3)","(21, 3)","(30, 5)","(40, 1)","(43, 1)",,,,,,,,,,,,,,,,
169,"(0, 1)","(10, 2)","(13, 3)",,,,,,,,,,,,,,,,,,
170,"(0, 1)","(6, 11)","(10, 2)","(17, 3)","(21, 2)","(30, 4)",,,,,,,,,,,,,,,
171,"(1, 1)","(6, 3)","(7, 1)","(14, 1)","(15, 1)",,,,,,,,,,,,,,,,
172,"(4, 2)","(6, 6)","(7, 1)","(10, 1)","(12, 8)","(14, 2)","(22, 1)","(28, 4)",,,,,,,,,,,,,
173,"(6, 8)","(7, 9)","(13, 2)","(17, 1)","(58, 1)",,,,,,,,,,,,,,,,
174,"(4, 1)","(6, 2)","(17, 1)",,,,,,,,,,,,,,,,,,
175,"(10, 3)","(84, 7)",,,,,,,,,,,,,,,,,,,
176,"(3, 2)","(4, 1)","(7, 8)","(10, 1)","(13, 1)","(14, 1)","(17, 2)","(20, 1)",,,,,,,,,,,,,
177,"(10, 1)","(14, 1)","(15, 1)","(17, 1)","(28, 3)",,,,,,,,,,,,,,,,
178,"(6, 10)","(10, 7)","(12, 1)","(17, 1)","(21, 1)","(30, 2)","(40, 4)",,,,,,,,,,,,,,
179,"(4, 1)","(10, 3)","(11, 1)","(12, 3)","(22, 2)","(56, 1)","(85, 1)",,,,,,,,,,,,,,
180,"(4, 2)","(7, 1)","(10, 6)","(12, 2)","(37, 1)","(43, 1)",,,,,,,,,,,,,,,
181,"(6, 2)","(12, 2)",,,,,,,,,,,,,,,,,,,
182,"(4, 1)","(7, 5)","(10, 1)","(13, 1)","(17, 5)",,,,,,,,,,,,,,,,
183,"(12, 3)","(17, 2)","(22, 1)",,,,,,,,,,,,,,,,,,
184,"(0, 4)","(4, 1)","(25, 1)","(31, 1)",,,,,,,,,,,,,,,,,
185,"(4, 4)","(5, 1)","(6, 8)","(7, 2)","(10, 4)","(12, 2)","(17, 2)","(23, 1)",,,,,,,,,,,,,
186,"(0, 1)","(5, 4)","(7, 2)","(8, 1)","(17, 1)","(19, 4)","(25, 2)","(86, 1)",,,,,,,,,,,,,
187,"(1, 1)","(6, 13)","(7, 2)","(10, 2)","(12, 3)","(13, 1)","(14, 6)","(21, 1)","(32, 2)",,,,,,,,,,,,
188,"(4, 2)","(6, 4)","(7, 7)","(12, 1)","(14, 1)","(39, 2)",,,,,,,,,,,,,,,
189,"(7, 3)","(13, 10)","(17, 1)","(25, 1)",,,,,,,,,,,,,,,,,
190,"(6, 8)","(7, 5)","(10, 4)","(12, 1)","(17, 4)","(31, 1)","(58, 2)",,,,,,,,,,,,,,
191,"(0, 1)","(4, 1)","(6, 4)","(40, 1)",,,,,,,,,,,,,,,,,
192,"(0, 1)","(1, 3)","(7, 2)","(10, 3)","(12, 1)",,,,,,,,,,,,,,,,
193,"(4, 1)","(6, 7)","(7, 1)","(9, 1)","(10, 1)","(15, 1)","(17, 1)","(20, 5)",,,,,,,,,,,,,
194,"(6, 2)","(10, 5)","(20, 1)",,,,,,,,,,,,,,,,,,
195,"(0, 1)","(7, 2)","(10, 2)","(87, 1)",,,,,,,,,,,,,,,,,
196,"(7, 1)","(10, 2)",,,,,,,,,,,,,,,,,,,
197,"(0, 4)","(1, 2)","(7, 6)","(17, 1)",,,,,,,,,,,,,,,,,
