,User,Followers
156,rfapo,['andreximenes']
157,carloseachaves,['violivei']
158,guilhermedeandrade,['samuelpordeus']
159,lucasbarross,['rafaelmotaalves']
160,RenatoRJF,['EdwinAldryn']
161,diogofmcunha,['dennynewtech']
162,wsantanapitang,['beugenio']
163,vescnet,['ciroceissler']
164,Redley,['ChristianSpinelli']
165,arer76,['rlindoso']
166,arcelo,['joliejoker']
167,RicardoCasteloBranco,['RicardoCBranco']
168,ricardomelogt,['iagoboliveira']
169,LucasSafeno,['XorAndre']
170,marcelomagf,['gabrielpconceicao']
171,cassianoricardo,['ramonsantos']
172,fellipetenorio,['mguilhermetavares']
173,rubens73,['luizlago']
174,joelbarbosamoraes,['feliperfmarques']
175,GustavoCavalcante,['yaguza2']
176,raniel90,['AlexSoaresDeSiqueira']
177,ThiagoPco,['andersonfonseka']
178,IgorGomess,['MatheusUehara']
179,leofmoura,['alvieirajr']
180,DavidCabral,['luanaCristina']
181,Renartes,['lucasbiagini']
182,jaasieljunior,['BrunoFelix']
183,acmd,['joaoluizdhv']
184,MasterRick,['jacquealvesb']
185,andersonbispo,['douglas-queiroz']
186,marcuscarvalho6,['ricardoferreirades']
187,romerotg,['kroitor']
188,EricJoosse,['marknemesis']
189,andersontenorio,['thnery']
190,BonnerAthos,['joaopaulosama']
191,carlossilvamelo,['Yuri-wrlk']
192,fjuriolli,['mateusduraes']
193,allansid,['wilquerlima']
194,ericmilfont,['guinetik']
195,hforesti,['medeirosrod']
196,slunart,['giovanebribeiro']
197,brayner1,['VicenteRibeiro']
198,joyceogilvy,['FaizanKhanani']
199,IlgssonBraga,['marknemesis']
200,DagobertoJr,['RudyJ']
201,lmyboy,['iagobelo']
202,progerbr,['ahmetabdi']
203,tiagomuniz1,['lucassklp']
204,pdraguiar,['rmarins1977']
205,tag-i,['pixies']
206,madsondeluna,['angusshire']
207,jpfreire,['rafaelborja']
208,mateus-buarque6,['marknemesis']
209,aeciojr,['ZeNeto']
210,licensed,['lucasarieiv']
211,yurigu,['OtacilioN']
212,riltonjunior,['marknemesis']
213,WeltonLSantos,['isaacbatista']
214,marconirds,['Topicos2']
215,gilchristiano,['NGTISI']
216,emesonsantana,['tcostam']
217,italoj,['luizbatista']
218,alande-amorim,['nfultz']
219,andrergomes,['MayaraSantos']
220,joycelima,['arthuralvim']
221,jeffrs,['rsaRodrigoSales']
222,danielAtOgilvy,['sfilhu']
223,jjs22,['LHzhian']
224,victorsaad00,['alvinoc']
225,viniciusmantero,['WandersonAlves']
226,beugenio,['vrcca']
227,renatoalvesdev,['julihermes']
228,rcananea,['ncroot']
229,reueljonathan,['horaciojcfilho']
230,carlosolimpio,['iigorcardoso']
231,alejoceballos,['leimig']
232,Jemesson,['EthanRafael']
233,macae,['KevinHock']
234,jrmmendes,['Accipterking']
235,hugolhmartins,['esselte974']
236,cConectando,['dan1lo']
237,tassianoalencar,['edilsonvilarinho']
238,IkaroAlef,['kenethy']
239,brunosmmm,['ferspanghero']
240,tecnologiane10,['ebelmiro']
241,vald3mir,['tuliobraga']
242,almsantos,['leofernandesmo']
243,ericlrf,['LucasLJorge']
244,mgrb,['Gustavomagalhaes']
245,flauber165,['mizaelmfs']
246,bredynilsen,['cleomenes']
247,84PC04,['julioamorim']
248,leandrowferreira,['angusshire']
249,rmmaf,['RamonSaboya']
250,brunover,['jbwestphal']
251,svaf2,['VanessaVieiraVV']
252,JNMarcos,['daniellyqueiroz']
253,axontec,['brunnogomes']
